femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
73.534751,174.014683,-130.156443,73.534751,174.014683,-130.156443,-18.125000,-18.125000,-18.125000,0.000000,0.000000,0.000000
-44.864874,174.664180,-36.196746,-44.864874,174.664180,-36.196746,-19.375000,-19.375000,-18.125000,0.000000,0.000000,0.000000
28.856827,-39.231241,152.438675,28.856827,-39.231241,152.438675,-19.375000,-19.375000,-19.375000,-18.125000,-18.125000,1.875000
-31.743503,121.208821,8.591857,-31.743503,121.208821,8.591857,-18.125000,-18.125000,-19.375000,-19.375000,-19.375000,1.875000
-45.971873,-19.791487,12.044868,-45.971873,-19.791487,12.044868,-18.125000,-19.375000,-19.375000,-19.375000,-19.375000,0.625000
-7.275182,144.886708,-24.255500,-7.275182,144.886708,-24.255500,-18.125000,-19.375000,-18.125000,-18.125000,-18.125000,0.625000
47.326170,153.694728,75.589679,47.326170,153.694728,75.589679,-19.375000,-18.125000,-18.125000,-18.125000,-19.375000,0.625000
-69.223862,105.965126,6.353392,-69.223862,105.965126,6.353392,-19.375000,-18.125000,-19.375000,-18.125000,-19.375000,1.875000
55.954975,127.757086,115.361178,55.954975,127.757086,115.361178,-16.875000,-18.125000,-19.375000,-19.375000,-18.125000,1.875000
-74.928656,-79.432508,59.684814,-74.928656,-79.432508,59.684814,-16.875000,-18.125000,-18.125000,-19.375000,-18.125000,0.625000
29.181196,32.572931,-30.874242,29.181196,32.572931,-30.874242,-15.625000,-18.125000,-18.125000,-16.875000,-18.125000,0.625000
-35.762961,-105.857187,-125.257953,-35.762961,-105.857187,-125.257953,-16.875000,-19.375000,-18.125000,-16.875000,-18.125000,1.875000
-14.868396,99.160065,-163.040041,-14.868396,99.160065,-163.040041,-16.875000,-19.375000,-19.375000,-15.625000,-18.125000,1.875000
27.308073,43.410494,-70.526645,27.308073,43.410494,-70.526645,-15.625000,-18.125000,-19.375000,-16.875000,-19.375000,1.875000
-47.238827,-18.852925,-149.322539,-47.238827,-18.852925,-149.322539,-15.625000,-19.375000,-19.375000,-16.875000,-19.375000,0.625000
-68.650716,-10.766516,141.179560,-68.650716,-10.766516,141.179560,-15.625000,-19.375000,-18.125000,-15.625000,-18.125000,0.625000
4.215895,-133.178334,-145.731948,4.215895,-133.178334,-145.731948,-14.375000,-19.375000,-18.125000,-15.625000,-19.375000,0.625000
69.776225,145.901467,-70.374461,69.776225,145.901467,-70.374461,-13.125000,-18.125000,-18.125000,-15.625000,-19.375000,1.875000
11.205045,29.536193,39.878411,11.205045,29.536193,39.878411,-13.125000,-18.125000,-19.375000,-14.375000,-19.375000,1.875000
-40.633573,159.787481,-94.144602,-40.633573,159.787481,-94.144602,-14.375000,-19.375000,-19.375000,-13.125000,-18.125000,1.875000
76.489483,11.706973,-2.429142,76.489483,11.706973,-2.429142,-13.125000,-19.375000,-19.375000,-13.125000,-18.125000,0.625000
45.132468,14.210178,-159.128996,45.132468,14.210178,-159.128996,-13.125000,-19.375000,-18.125000,-14.375000,-19.375000,0.625000
49.708608,-126.011858,-164.569524,49.708608,-126.011858,-164.569524,-14.375000,-18.125000,-18.125000,-13.125000,-19.375000,0.625000
6.933993,134.093915,-18.206936,6.933993,134.093915,-18.206936,-14.375000,-18.125000,-19.375000,-13.125000,-19.375000,1.875000
-20.810661,137.247554,13.448643,-20.810661,137.247554,13.448643,-11.875000,-18.125000,-19.375000,-14.375000,-18.125000,1.875000
-23.585626,53.304607,24.852997,-23.585626,53.304607,24.852997,-11.875000,-18.125000,-18.125000,-14.375000,-18.125000,0.625000
-63.526470,48.242768,66.571606,-63.526470,48.242768,66.571606,-10.625000,-18.125000,-18.125000,-11.875000,-18.125000,0.625000
-24.830354,51.712289,92.131570,-24.830354,51.712289,92.131570,-11.875000,-19.375000,-18.125000,-11.875000,-18.125000,1.875000
42.974020,-50.213899,133.469640,42.974020,-50.213899,133.469640,-11.875000,-19.375000,-19.375000,-10.625000,-18.125000,1.875000
-0.321458,-170.915782,-149.172796,-0.321458,-170.915782,-149.172796,-10.625000,-18.125000,-19.375000,-11.875000,-19.375000,1.875000
-74.108554,100.433016,-50.641373,-74.108554,100.433016,-50.641373,-10.625000,-19.375000,-19.375000,-11.875000,-19.375000,0.625000
-20.433441,154.642932,92.022024,-20.433441,154.642932,92.022024,-10.625000,-19.375000,-18.125000,-10.625000,-18.125000,0.625000
-33.768715,95.058248,95.458700,-33.768715,95.058248,95.458700,-9.375000,-19.375000,-18.125000,-10.625000,-19.375000,0.625000
13.367768,-121.474562,-171.847202,13.367768,-121.474562,-171.847202,-9.375000,-19.375000,-19.375000,-10.625000,-19.375000,1.875000
-4.991063,73.164883,92.607400,-4.991063,73.164883,92.607400,-8.125000,-18.125000,-19.375000,-9.375000,-19.375000,1.875000
-39.269822,-11.412560,116.092406,-39.269822,-11.412560,116.092406,-8.125000,-19.375000,-19.375000,-9.375000,-19.375000,0.625000
-73.086146,17.963729,-9.633735,-73.086146,17.963729,-9.633735,-8.125000,-19.375000,-18.125000,-8.125000,-18.125000,0.625000
-52.367467,84.967689,-12.490972,-52.367467,84.967689,-12.490972,-8.125000,-18.125000,-18.125000,-8.125000,-19.375000,0.625000
1.402081,-94.373019,-102.001092,1.402081,-94.373019,-102.001092,-9.375000,-18.125000,-18.125000,-8.125000,-19.375000,1.875000
3.206519,-157.743514,-114.702575,3.206519,-157.743514,-114.702575,-9.375000,-18.125000,-19.375000,-8.125000,-18.125000,1.875000
-66.747898,-36.290349,3.433597,-66.747898,-36.290349,3.433597,-6.875000,-19.375000,-19.375000,-9.375000,-18.125000,1.875000
-35.917968,-139.252669,-93.884538,-35.917968,-139.252669,-93.884538,-6.875000,-19.375000,-18.125000,-9.375000,-18.125000,0.625000
-37.685797,163.683774,-93.232115,-37.685797,163.683774,-93.232115,-5.625000,-18.125000,-18.125000,-6.875000,-19.375000,0.625000
11.911332,-142.955246,-28.725712,11.911332,-142.955246,-28.725712,-5.625000,-19.375000,-18.125000,-6.875000,-19.375000,1.875000
53.209145,-46.254866,-73.583999,53.209145,-46.254866,-73.583999,-5.625000,-19.375000,-19.375000,-5.625000,-18.125000,1.875000
19.201175,76.087061,-25.581562,19.201175,76.087061,-25.581562,-5.625000,-18.125000,-19.375000,-5.625000,-19.375000,1.875000
-12.271852,88.155539,-25.066157,-12.271852,88.155539,-25.066157,-6.875000,-18.125000,-19.375000,-5.625000,-19.375000,0.625000
-58.932458,-48.333443,153.016614,-58.932458,-48.333443,153.016614,-6.875000,-18.125000,-18.125000,-5.625000,-18.125000,0.625000
47.932939,145.743456,40.715130,47.932939,145.743456,40.715130,-4.375000,-19.375000,-18.125000,-6.875000,-18.125000,0.625000
26.235041,-162.400197,-129.580636,26.235041,-162.400197,-129.580636,-4.375000,-19.375000,-19.375000,-6.875000,-18.125000,1.875000
-23.661492,-71.974185,-78.874196,-23.661492,-71.974185,-78.874196,-3.125000,-19.375000,-19.375000,-4.375000,-19.375000,1.875000
-59.136683,-149.110851,-118.433515,-59.136683,-149.110851,-118.433515,-3.125000,-18.125000,-19.375000,-4.375000,-19.375000,0.625000
-21.907238,153.549094,-157.493670,-21.907238,153.549094,-157.493670,-3.125000,-18.125000,-18.125000,-3.125000,-19.375000,0.625000
-34.224359,84.334445,-103.474656,-34.224359,84.334445,-103.474656,-3.125000,-19.375000,-18.125000,-3.125000,-18.125000,0.625000
