femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
-16.664333,-0.404688,9.278982,0,0,0,-9.375000,-9.375000,-9.375000,0,0,0
-46.270389,4.994113,-0.242135,0,0,0,-8.125000,-9.375000,-9.375000,0,0,0
-1.467408,-5.420827,-4.313955,0,0,0,-6.875000,-9.375000,-9.375000,0,0,0
-36.778069,3.548956,-6.242169,0,0,0,-5.625000,-9.375000,-9.375000,0,0,0
-33.572594,8.721681,4.013451,0,0,0,-4.375000,-9.375000,-9.375000,0,0,0
-41.420891,-8.290734,-8.850331,0,0,0,-3.125000,-9.375000,-9.375000,0,0,0
-12.514774,-7.503678,0.601954,0,0,0,-1.875000,-9.375000,-9.375000,0,0,0
-11.214464,9.696484,7.775695,0,0,0,-0.625000,-9.375000,-9.375000,0,0,0
-55.736578,-8.714270,-7.641116,0,0,0,0.625000,-9.375000,-9.375000,0,0,0
-42.713876,-3.373409,-9.535398,0,0,0,1.875000,-9.375000,-9.375000,0,0,0
-25.705272,9.970168,-3.307334,0,0,0,3.125000,-9.375000,-9.375000,0,0,0
-32.687434,-8.772633,-7.508463,0,0,0,4.375000,-9.375000,-9.375000,0,0,0
-3.338578,-0.219089,-0.746245,0,0,0,5.625000,-9.375000,-9.375000,0,0,0
-55.194696,-9.899647,7.897048,0,0,0,6.875000,-9.375000,-9.375000,0,0,0
-1.830006,1.128564,8.387155,0,0,0,8.125000,-9.375000,-9.375000,0,0,0
-43.472182,7.351352,1.236003,0,0,0,9.375000,-9.375000,-9.375000,0,0,0
-13.115608,9.305098,1.559117,0,0,0,9.375000,-8.125000,-9.375000,0,0,0
-33.885425,8.701391,0.665164,0,0,0,8.125000,-8.125000,-9.375000,0,0,0
-36.961777,8.522654,7.113041,0,0,0,6.875000,-8.125000,-9.375000,0,0,0
-2.492587,0.232765,-4.997872,0,0,0,5.625000,-8.125000,-9.375000,0,0,0
-1.338150,-6.956796,1.929840,0,0,0,4.375000,-8.125000,-9.375000,0,0,0
-46.434519,9.974430,5.353999,0,0,0,3.125000,-8.125000,-9.375000,0,0,0
