femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
0,0,0,6.832486,3.453089,-4.067792,0,0,0,-9.375000,-9.375000,-9.375000
0,0,0,-3.349575,2.091851,-0.307502,0,0,0,-8.125000,-9.375000,-9.375000
0,0,0,2.709061,6.937107,2.674409,0,0,0,-6.875000,-9.375000,-9.375000
0,0,0,-5.512585,-2.609198,6.226078,0,0,0,-5.625000,-9.375000,-9.375000
0,0,0,-2.403447,8.736139,5.788836,0,0,0,-4.375000,-9.375000,-9.375000
0,0,0,6.707739,6.751676,8.955562,0,0,0,-3.125000,-9.375000,-9.375000
0,0,0,0.054870,-6.501808,-9.009885,0,0,0,-1.875000,-9.375000,-9.375000
0,0,0,8.096908,-8.885232,8.853049,0,0,0,-0.625000,-9.375000,-9.375000
0,0,0,9.600642,1.429734,3.583555,0,0,0,0.625000,-9.375000,-9.375000
0,0,0,2.949976,5.763957,-8.067231,0,0,0,1.875000,-9.375000,-9.375000
0,0,0,-4.121060,-6.281725,3.814434,0,0,0,3.125000,-9.375000,-9.375000
0,0,0,-5.372355,4.880029,1.469196,0,0,0,4.375000,-9.375000,-9.375000
0,0,0,2.931911,8.570498,-6.555782,0,0,0,5.625000,-9.375000,-9.375000
0,0,0,-5.822069,-8.496889,7.028773,0,0,0,6.875000,-9.375000,-9.375000
0,0,0,6.879785,-7.428395,-9.059586,0,0,0,8.125000,-9.375000,-9.375000
0,0,0,-0.505467,-1.901053,9.115040,0,0,0,9.375000,-9.375000,-9.375000
0,0,0,-6.168603,-9.329375,8.675987,0,0,0,9.375000,-8.125000,-9.375000
0,0,0,-3.431763,-8.478662,-3.549420,0,0,0,8.125000,-8.125000,-9.375000
0,0,0,-9.765071,1.155939,-9.437594,0,0,0,6.875000,-8.125000,-9.375000
0,0,0,8.302201,5.370151,3.822565,0,0,0,5.625000,-8.125000,-9.375000
0,0,0,3.005640,-3.391261,-7.694860,0,0,0,4.375000,-8.125000,-9.375000
0,0,0,1.962268,2.886240,3.171070,0,0,0,3.125000,-8.125000,-9.375000
0,0,0,-0.054973,4.103342,-7.567774,0,0,0,1.875000,-8.125000,-9.375000
0,0,0,8.836671,0.163826,-7.651063,0,0,0,0.625000,-8.125000,-9.375000
0,0,0,1.251050,-5.871771,0.148966,0,0,0,-0.625000,-8.125000,-9.375000
0,0,0,0.565393,6.640358,-0.349319,0,0,0,-1.875000,-8.125000,-9.375000
0,0,0,2.290868,-8.831170,3.564105,0,0,0,-3.125000,-8.125000,-9.375000
0,0,0,-8.062454,-2.756955,9.154043,0,0,0,-4.375000,-8.125000,-9.375000
0,0,0,1.168868,1.534418,2.743931,0,0,0,-5.625000,-8.125000,-9.375000
0,0,0,9.085978,-8.660298,4.646144,0,0,0,-6.875000,-8.125000,-9.375000
0,0,0,7.324807,-3.906497,3.695193,0,0,0,-8.125000,-8.125000,-9.375000
0,0,0,-8.161301,1.730207,-1.071538,0,0,0,-9.375000,-8.125000,-9.375000
0,0,0,4.070947,-6.449279,3.116590,0,0,0,-9.375000,-6.875000,-9.375000
0,0,0,-5.775886,-0.696763,0.754543,0,0,0,-8.125000,-6.875000,-9.375000
0,0,0,-4.121313,-9.429054,-6.415823,0,0,0,-6.875000,-6.875000,-9.375000
0,0,0,9.192218,-5.073627,5.765502,0,0,0,-5.625000,-6.875000,-9.375000
0,0,0,9.247888,-5.500057,-6.164479,0,0,0,-4.375000,-6.875000,-9.375000
0,0,0,-4.289846,9.067196,-0.488191,0,0,0,-3.125000,-6.875000,-9.375000
0,0,0,-2.654754,-9.857183,-1.983037,0,0,0,-1.875000,-6.875000,-9.375000
0,0,0,-6.896801,-9.732494,-6.004426,0,0,0,-0.625000,-6.875000,-9.375000
0,0,0,9.630352,2.912812,5.136481,0,0,0,0.625000,-6.875000,-9.375000
0,0,0,9.385920,-4.163065,4.021299,0,0,0,1.875000,-6.875000,-9.375000
0,0,0,7.854754,-5.767297,9.165723,0,0,0,3.125000,-6.875000,-9.375000
0,0,0,-3.563363,-0.074304,-6.452585,0,0,0,4.375000,-6.875000,-9.375000
0,0,0,9.799722,3.888879,1.377172,0,0,0,5.625000,-6.875000,-9.375000
0,0,0,-2.509867,-2.368135,6.937614,0,0,0,6.875000,-6.875000,-9.375000
0,0,0,-2.898472,-5.993541,-8.643985,0,0,0,8.125000,-6.875000,-9.375000
